year,make,model,transmission,color,interior,sellingprice,saledate
2013,Nissan,Frontier,automatic,white,gray,22750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,black,black,14500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,white,black,17000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Boxster,automatic,black,black,49500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,black,black,12000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,automatic,blue,black,11500,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Toyota,Camry Hybrid,automatic,black,gray,21000,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,red,black,11100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,blue,gray,10500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Scion,xB,automatic,white,gray,14500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,FJ Cruiser,automatic,orange,black,26500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Cube,automatic,white,beige,12200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Scion,FR-S,automatic,gray,black,20250,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Volkswagen,Jetta SportWagen,automatic,blue,gray,12000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,black,gray,13000,Wed Dec 17 2014 13:00:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,gray,black,12400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Rogue,automatic,gray,black,16250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,automatic,white,black,12100,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,4Runner,automatic,silver,black,25900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Sequoia,automatic,black,gray,34000,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2013,Nissan,Versa,automatic,red,black,10000,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
2013,Nissan,Maxima,automatic,gray,black,2000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Volvo,S60,automatic,white,beige,20000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Prius,automatic,silver,gray,16200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Subaru,Legacy,automatic,red,black,9800,Wed Dec 31 2014 15:05:00 GMT-0800 (PST)
2013,Nissan,Leaf,automatic,black,black,15000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Quest,automatic,black,gray,22800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Armada,automatic,black,black,19500,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Toyota,Venza,automatic,white,beige,17600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,automatic,black,black,11600,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,black,black,12250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Cube,automatic,blue,black,12100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Tacoma,automatic,silver,gray,23700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Cayenne,automatic,black,tan,55000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,automatic,black,gray,11600,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,silver,black,10800,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Pathfinder,automatic,black,black,19700,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,white,black,10500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,gray,gray,11700,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Rogue,automatic,red,black,15800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,red,black,10900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Yaris,automatic,gray,black,9900,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Rogue,automatic,white,black,18250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,gray,black,12000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Panamera,automatic,black,black,59750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,automatic,gray,black,27100,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,automatic,silver,black,13400,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,gray,gray,12400,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2013,Nissan,Frontier,automatic,white,gray,9000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,automatic,gray,black,11600,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,white,beige,10500,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2013,Toyota,Venza,automatic,white,beige,17100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,CC,automatic,black,black,13100,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Prius,automatic,white,black,14600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Venza,automatic,white,beige,17500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Highlander,automatic,white,black,28000,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,white,gray,17750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Versa,automatic,gray,black,11000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Avalon,automatic,silver,black,15500,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,automatic,black,black,11700,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2013,Subaru,Impreza,automatic,silver,black,18500,Wed Dec 17 2014 12:45:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,silver,black,16250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,automatic,gray,black,13300,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Toyota,Tacoma,automatic,white,gray,27000,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Nissan,Xterra,automatic,white,gray,18000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Subaru,Impreza WRX,manual,blue,black,29000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Cube,automatic,silver,black,12300,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Sienna,automatic,burgundy,beige,16600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Maxima,automatic,gray,black,1000,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
2013,Toyota,Camry,automatic,beige,beige,14900,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2013,Nissan,Versa,manual,gray,black,9500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Versa,automatic,gray,black,4000,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2013,Porsche,Panamera,automatic,white,beige,58000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,white,black,10300,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Camry,automatic,black,black,15700,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Scion,FR-S,manual,gray,black,18700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,black,black,11400,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,white,black,15250,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,automatic,gray,black,20200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,white,black,10600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Murano,automatic,gray,black,16700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,gray,black,10600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Nissan,Murano,automatic,white,beige,20500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Boxster,automatic,black,black,39500,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,gray,gray,4000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Toyota,Camry Hybrid,automatic,gray,gray,17750,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Yaris,automatic,silver,black,7300,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,gray,gray,11500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,white,gray,11500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,silver,black,10900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Tacoma,automatic,silver,gray,26750,Wed Jan 07 2015 12:15:00 GMT-0800 (PST)
2013,Nissan,Versa,automatic,gray,black,10200,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,silver,black,10800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Prius,automatic,black,gray,15800,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Tacoma,automatic,brown,gray,21000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Toyota,Sienna,automatic,white,gray,20400,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,automatic,white,black,11900,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,automatic,silver,gray,8200,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Nissan,Sentra,automatic,black,black,10700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Rogue,automatic,white,gray,14900,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Volvo,S60,automatic,white,black,19000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Versa,automatic,silver,black,9200,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Nissan,Murano,automatic,white,beige,18900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Pathfinder,automatic,white,black,22500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,automatic,silver,black,12000,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2013,Nissan,Murano,automatic,gray,black,25250,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Camry,automatic,silver,black,11200,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Nissan,Maxima,automatic,white,tan,20000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
